|filename|AudioStart|AudioEnd|AudioDuration|FrameStart|FrameEnd|label|ilabel|Text
0|Datasets/affWild2/Audios/audiobatch1/158.wav|0.000|43.110|43.110|1|1293|Neutral|0|THE HOOPOE HEY
1|Datasets/affWild2/Audios/audiobatch1/158.wav|43.277|46.580|3.303|1298|1397|Happiness|4|WHAT A FOOL I AM
2|Datasets/affWild2/Audios/audiobatch1/158.wav|49.316|50.551|1.235|1479|1516|Neutral|0|HM HM
3|Datasets/affWild2/Audios/audiobatch1/158.wav|50.584|50.617|0.033|1517|1518|Neutral|0|RIMMER
4|Datasets/affWild2/Audios/audiobatch1/158.wav|56.690|58.258|1.568|1700|1747|Happiness|4|IMMUNE
5|Datasets/affWild2/Audios/audiobatch1/158.wav|59.293|62.496|3.203|1778|1874|Neutral|0|H O O O O O O
6|Datasets/affWild2/Audios/audiobatch1/158.wav|62.629|65.666|3.036|1878|1969|Neutral|0|HM HM HM
7|Datasets/affWild2/Audios/audiobatch1/158.wav|66.033|67.000|0.968|1980|2009|Happiness|4|OMER
8|Datasets/affWild2/Audios/audiobatch1/158.wav|70.203|79.680|9.476|2105|2389|Happiness|4|OTTER THE COLOSSUS
9|Datasets/affWild2/Audios/audiobatch1/158.wav|85.052|86.219|1.168|2550|2585|Neutral|0|HM HM
10|Datasets/affWild2/Audios/audiobatch1/158.wav|86.987|88.021|1.034|2608|2639|Neutral|0|THIRTEEN FIFTY
11|Datasets/affWild2/Audios/audiobatch1/158.wav|92.225|101.134|8.909|2765|3032|Happiness|4|THE HALBERD TIMMER OF THE FIEF
12|Datasets/affWild2/Audios/audiobatch1/162.wav|0.000|2.200|2.200|1|67|Neutral|0|HM HM
13|Datasets/affWild2/Audios/audiobatch1/162.wav|3.067|24.233|21.167|93|728|Other|7|SO THIS IS THE SECOND TIS A TRAITOR STAR WAR'S EPISTLE SEVEN AND I WAS TORN BECAUSE
14|Datasets/affWild2/Audios/audiobatch1/162.wav|25.167|27.367|2.200|756|822|Other|7|DO WE GO
15|Datasets/affWild2/Audios/audiobatch1/162.wav|28.267|29.733|1.467|849|893|Neutral|0|AYMER
16|Datasets/affWild2/Audios/audiobatch1/162.wav|30.567|38.900|8.333|918|1168|Neutral|0|I'M INDEBTED TO THE PICNIC
17|Datasets/affWild2/Audios/audiobatch1/162.wav|40.367|49.033|8.667|1212|1472|Neutral|0|OMNIA OMNIA
18|Datasets/affWild2/Audios/audiobatch1/162.wav|50.267|50.600|0.333|1509|1519|Neutral|0|HM HM
19|Datasets/affWild2/Audios/audiobatch1/162.wav|52.333|53.400|1.067|1571|1603|Neutral|0|HM HM
20|Datasets/affWild2/Audios/audiobatch1/162.wav|56.600|58.800|2.200|1699|1765|Other|7|HM HM HM
21|Datasets/affWild2/Audios/audiobatch1/162.wav|59.800|66.467|6.667|1795|1995|Neutral|0|U U U U U U U U U U U U U U
22|Datasets/affWild2/Audios/audiobatch1/162.wav|68.367|75.200|6.833|2052|2257|Neutral|0|THE VOICE IS TO HIM IN MY FAMILY OH OH
23|Datasets/affWild2/Audios/audiobatch1/162.wav|75.667|77.833|2.167|2271|2336|Other|7|ENJOLRAS
24|Datasets/affWild2/Audios/audiobatch1/162.wav|98.967|105.500|6.533|2970|3166|Other|7|U U U U U U U U U U U U U U U
25|Datasets/affWild2/Audios/audiobatch1/162.wav|109.967|115.300|5.333|3300|3460|Happiness|4|HM HM HM HM
26|Datasets/affWild2/Audios/audiobatch1/162.wav|119.133|119.700|0.567|3575|3592|Happiness|4|HM HM
27|Datasets/affWild2/Audios/audiobatch1/162.wav|131.333|139.833|8.500|3941|4196|Happiness|4|AYE AYE AYE AYE
28|Datasets/affWild2/Audios/audiobatch1/162.wav|144.433|148.000|3.567|4334|4441|Other|7|O K WE CAN WATCH IT AGAIN
29|Datasets/affWild2/Audios/audiobatch1/162.wav|149.167|149.300|0.133|4476|4480|Neutral|0|HM HM
30|Datasets/affWild2/Audios/audiobatch1/162.wav|149.833|152.533|2.700|4496|4577|Neutral|0|HM HM
31|Datasets/affWild2/Audios/audiobatch1/162.wav|156.667|157.400|0.733|4701|4723|Neutral|0|HM HM
32|Datasets/affWild2/Audios/audiobatch1/162.wav|159.067|159.433|0.367|4773|4784|Other|7|HM HM
33|Datasets/affWild2/Audios/audiobatch1/162.wav|160.167|162.833|2.667|4806|4886|Other|7|THE MISGIVING OF MESSRS
34|Datasets/affWild2/Audios/audiobatch1/162.wav|163.033|163.467|0.433|4892|4905|Other|7|HM HM
35|Datasets/affWild2/Audios/audiobatch1/162.wav|163.733|175.867|12.133|4913|5277|Neutral|0|U U U U U U U U U U U U U
36|Datasets/affWild2/Audios/audiobatch1/162.wav|176.433|180.967|4.533|5294|5430|Other|7|AND SO YOU'D HAVE ALL HE HE HE
37|Datasets/affWild2/Audios/audiobatch1/162.wav|187.400|188.200|0.800|5623|5647|Neutral|0|HM HM
38|Datasets/affWild2/Audios/audiobatch1/162.wav|192.067|194.833|2.767|5763|5846|Other|7|AY AY MY FATHER HASN'T
39|Datasets/affWild2/Audios/audiobatch1/162.wav|200.233|202.733|2.500|6008|6083|Neutral|0|HAVEN'T I YOU
40|Datasets/affWild2/Audios/audiobatch1/162.wav|203.033|203.133|0.100|6092|6095|Neutral|0|THE RIM
41|Datasets/affWild2/Audios/audiobatch1/162.wav|203.533|217.600|14.067|6107|6529|Neutral|0|MY SISTER HASN'T YOU KNOW YOU HAVE THAT POWER TOO
42|Datasets/affWild2/Audios/audiobatch1/162.wav|219.100|221.000|1.900|6574|6631|Other|7|IMMUNITY
43|Datasets/affWild2/Audios/audiobatch1/162.wav|221.600|222.733|1.133|6649|6683|Other|7|HM HM
44|Datasets/affWild2/Audios/audiobatch1/162.wav|224.567|224.667|0.100|6738|6741|Neutral|0|HYM
45|Datasets/affWild2/Audios/audiobatch1/162.wav|225.033|225.767|0.733|6752|6774|Neutral|0|HM HM
